model_name,mean_test_score,std_test_score,mean_fit_time,params,rank_test_score,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_tfidf__min_df,param_tfidf__ngram_range,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
logistic_regression,0.8128305644231469,0.015031252589235775,0.6612184047698975,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",26,0.10345203135614353,0.08178911209106446,0.008521424270287082,0.1,balanced,2.0,"(1, 2)",0.8277832559634974,0.8052637462722647,0.8332044157230711,0.803873002179561,0.7940284019773401,0.8689854531110153,0.8685213606091131,0.8696476757430686,0.8752416492881813,0.8757485286581751,0.8716289334819107,0.003180979716123849
logistic_regression,0.8108671116361761,0.010980164720030033,0.21573591232299805,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",28,0.019122300267409287,0.04068665504455567,0.004592948989303317,0.1,balanced,5.0,"(1, 1)",0.8283296585763684,0.8036311601384737,0.8180487461127655,0.8067685063371589,0.7975574870161137,0.8481944661868782,0.8535359761874922,0.8546732167284719,0.8556554089462453,0.8570234907620328,0.8538165117622241,0.0030359939794987966
logistic_regression,0.8073350689763096,0.011283454995658408,0.49196696281433105,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",29,0.06157017471924657,0.07839388847351074,0.011305009270227229,0.1,balanced,5.0,"(1, 2)",0.819952876984127,0.801893737610129,0.821230081856064,0.8008421820527702,0.7927564663784571,0.8498135592497834,0.8524021536665614,0.8536111508525452,0.85672683527237,0.8552609446845864,0.8535629287451693,0.002379119938593474
logistic_regression,0.8546495094592357,0.018734298482157276,0.615140724182129,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",12,0.04439567313367654,0.038494014739990236,0.0029854741444529068,1.0,,1.0,"(1, 1)",0.872856856426431,0.8491064697206032,0.8777758451242628,0.8471783058241589,0.8263300702007225,0.9555364281927323,0.9569953529361278,0.9558719186735758,0.9574351027139291,0.9613828871024666,0.9574443379237664,0.0020893283265877452
logistic_regression,0.832978355732026,0.02201660738390083,7.603750133514405,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",24,1.0908199158388523,0.11775083541870117,0.013515076409231983,1.0,,1.0,"(1, 2)",0.8624654589364903,0.8243808721321636,0.855826538146206,0.8120346361899218,0.8101842732553483,0.9741022902395684,0.9735855568122056,0.974907679614444,0.9726296821753286,0.9763883874815393,0.9743227192646172,0.001270239018083441
logistic_regression,0.8564708552831319,0.014541153633482051,0.4875968933105469,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",11,0.07719484915751036,0.051194953918457034,0.012870912873681797,1.0,,2.0,"(1, 1)",0.8695392058601532,0.8486986231107051,0.8749033820804581,0.8547246851697343,0.834488380194609,0.947689701666063,0.9478807371967135,0.95085683887459,0.9503029403007119,0.9537224287787922,0.9500905293633741,0.002212247594145178
logistic_regression,0.850470146144627,0.01747963372975799,1.8180695056915284,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",14,0.09578767604761783,0.0942375659942627,0.01675078898862608,1.0,,2.0,"(1, 2)",0.8736813438825822,0.8433181889756487,0.8659666664269021,0.8446860793690913,0.8246984520689111,0.961706599058712,0.9605305001894081,0.9626258735198799,0.9599985581300805,0.9635480317984548,0.9616819125393071,0.0013064076938696413
logistic_regression,0.8429680381699836,0.013832152359687178,0.5207511425018311,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",19,0.03934370917587236,0.05849862098693848,0.016163535174286224,1.0,,5.0,"(1, 1)",0.8497057456059243,0.8369272314928473,0.8626851123077648,0.8445429425394582,0.8209791589039231,0.9318525045746452,0.9314122733666899,0.9330841288233074,0.9355380925572663,0.9385274822541071,0.9340828963152031,0.002644857312732014
logistic_regression,0.838257824349159,0.014074881715616286,1.0852424144744872,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",23,0.06819875073716233,0.09165239334106445,0.02212157523785463,1.0,,5.0,"(1, 2)",0.8518151405752301,0.8287394374998658,0.85865241711309,0.8269556804035109,0.8251264461540981,0.9396960069041802,0.9430434104821221,0.9400701621668751,0.9450917914027438,0.9478238797107535,0.9431450501333349,0.0030673250106926404
logistic_regression,0.8577582402033886,0.013651707901973127,0.967418909072876,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",9,0.15284116978723353,0.04923415184020996,0.004792471468322527,1.0,balanced,1.0,"(1, 1)",0.8732861730961361,0.8555567240167311,0.8711846774700082,0.8529770285792332,0.8357865978548348,0.9508893324196256,0.9485747704913219,0.9489685733634469,0.9508777099170127,0.9543174483361028,0.950725566905502,0.0020329550104778923
logistic_regression,0.8501844265532362,0.01663868111958944,6.906922960281372,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",16,0.3677909178213336,0.09489741325378417,0.008604737071523585,1.0,balanced,1.0,"(1, 2)",0.8725379191008493,0.8485217656578867,0.8639823975957691,0.8398921010151524,0.8259879493965234,0.9705983118451912,0.9703431540145191,0.9712595923757922,0.9696089260070122,0.971771779845618,0.9707163528176265,0.000746811969327311
logistic_regression,0.8570222769287661,0.01372009382005236,0.5617707729339599,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",10,0.03107925196634229,0.04778695106506348,0.007197611423310673,1.0,balanced,2.0,"(1, 1)",0.8758838176554197,0.8575303454846689,0.8653884112979667,0.8512340423989844,0.8350747678067904,0.944004939107906,0.9422667634339318,0.9415891974131665,0.9448015883691165,0.9476196687934482,0.9440564314235138,0.002123427703567628
logistic_regression,0.8507743478640103,0.012296949165079544,2.5364406585693358,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",13,0.33518383116882433,0.1292440414428711,0.02552404479272728,1.0,balanced,2.0,"(1, 2)",0.8628814391735325,0.8547103929275768,0.8615702297942645,0.8450126179180765,0.8296970595066016,0.9562515591174293,0.9593605622282448,0.9568012048561856,0.9585272811800161,0.9589540551411455,0.9579789325046043,0.0012272988512940287
logistic_regression,0.8438976987484589,0.009656064462783182,0.48701229095458987,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",18,0.07571195092346938,0.04272165298461914,0.00463550343982318,1.0,balanced,5.0,"(1, 1)",0.849961251393109,0.8366354249637221,0.8595483625573495,0.8403675366784873,0.832975918149627,0.9256309306032946,0.9243723876429987,0.9239140527695398,0.9285671013465971,0.9338549529761495,0.927267885067716,0.0036712162265126365
logistic_regression,0.8406704214581009,0.007203905364291581,0.9130556583404541,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",22,0.1964547155954522,0.08188471794128419,0.005360920564056458,1.0,balanced,5.0,"(1, 2)",0.8463626928396317,0.8443894647761773,0.848555915689135,0.8328814374214359,0.831162596564124,0.9334280564535629,0.9344097181357593,0.9367982185189652,0.940905197347782,0.9381374125224351,0.936735720595701,0.0026722317322743117
logistic_regression,0.8662354387160424,0.015503317103991079,1.5570364475250245,"{'classifier__C': 10.0, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",5,0.23178052758018558,0.052325868606567384,0.010795693253418021,10.0,,1.0,"(1, 1)",0.8818782972034901,0.854352675812664,0.885916048896019,0.8632845034271035,0.8457456682409349,0.9992812244916087,0.99856216617062,0.9982858205374389,0.9982859790574956,0.9990053175297695,0.9986841015573866,0.00039792789140846095
logistic_regression,0.8646671503430531,0.0187749948205469,12.50577163696289,"{'classifier__C': 10.0, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",6,0.8739255681513124,0.1112492561340332,0.031279615604884535,10.0,,1.0,"(1, 2)",0.8837004881441606,0.8557393471927851,0.889382319472686,0.8544487468893227,0.8400648500163104,1.0,1.0,1.0,1.0,1.0,1.0,0.0
