subject,direction,rank,feature,coefficient,exact_source_name_match,dominant_source,source_dominance_ratio,possible_source_shortcut
physics,positive,20,planet,1.3159292140676169,False,ori_mmlu-astronomy,0.6407970246732791,False
physics,negative,1,mole,-1.4035015851528372,False,stemez-PhysicalChemistry,0.3473220770860505,False
physics,negative,2,mathrm ft,-1.3396653654513608,False,scibench-calculus,0.9453604603065856,True
physics,negative,3,let,-1.3286400419942752,False,scibench-stat,0.3757303466178417,False
physics,negative,4,calculate the,-1.3083139243713966,False,scibench-chemmc,0.15185677175176546,False
physics,negative,5,mathrm nm,-1.2748464396549035,False,scibench-chemmc,0.5265939109760254,False
physics,negative,6,calculate,-1.2263448380806354,False,scibench-chemmc,0.13626134624944006,False
physics,negative,7,given,-1.210732544166619,False,stemez-PhysicalChemistry,0.15223299594236925,False
physics,negative,8,solution,-1.1370414602406735,False,stemez-Chemistry,0.20529115647535515,False
physics,negative,9,cell,-1.1081200915134082,False,scibench-matter,0.17161968128910857,False
physics,negative,10,explain,-1.0796884607542219,False,stemez-Biology,0.7687170527955213,False
physics,negative,11,reaction,-1.062437794465532,False,ori_mmlu-high_school_chemistry,0.21756451682217387,False
physics,negative,12,at 25,-1.0532192176128625,False,stemez-PhysicalChemistry,0.38567717873900303,False
physics,negative,13,probability,-1.0493104614375057,False,scibench-stat,0.33027167009904496,False
physics,negative,14,number,-1.0414780091970293,False,ori_mmlu-elementary_mathematics,0.16332168897764265,False
physics,negative,15,ionization,-1.0317427500087004,False,ori_mmlu-high_school_chemistry,0.2852577331376988,False
physics,negative,16,given that,-1.011187241314792,False,stemez-PhysicalChemistry,0.265430837345611,False
physics,negative,17,statement,-0.9811721746946155,False,ori_mmlu-abstract_algebra,0.6886520830369444,False
physics,negative,18,mathrm ev,-0.966222313438406,False,scibench-quan,0.645949906050048,False
physics,negative,19,cubic,-0.9307894866829244,False,scibench-matter,0.3109065512603913,False
physics,negative,20,following,-0.926087139072282,False,ori_mmlu-high_school_biology,0.1586743112507957,False
chemistry,positive,1,reaction,2.6560629466409154,False,ori_mmlu-high_school_chemistry,0.21756451682217387,False
